,agency_name,unit_appropriation_name,object_class_name,total_amount,bn_dol
504,DEPARTMENT OF CORRECTION,NYC DOC TRANSPORTATION OTPS,PROPERTY AND EQUIPMENT,0,0.0
505,DEPARTMENT OF CORRECTION,NYC DOC TRANSPORTATION OTPS,SUPPLIES AND MATERIALS,0,0.0
506,DEPARTMENT OF CORRECTION,NYC DOC TRANSPORTATION PS,ADDITIONAL GROSS PAY,0,0.0
507,DEPARTMENT OF CORRECTION,NYC DOC TRANSPORTATION PS,FULL TIME SALARIED,0,0.0
508,DEPARTMENT OF CORRECTION,OPERATIONS,ADDITIONAL GROSS PAY,357384993,0.357384993
509,DEPARTMENT OF CORRECTION,OPERATIONS,FRINGE BENEFITS,14398776,0.014398776
510,DEPARTMENT OF CORRECTION,OPERATIONS,FULL TIME SALARIED,259532977,0.259532977
511,DEPARTMENT OF CORRECTION,OPERATIONS - OTPS,CONTRACTUAL SERVICES,33967811,0.033967811
512,DEPARTMENT OF CORRECTION,OPERATIONS - OTPS,FIXED & MISCELLANEOUS CHARGES,260133,0.000260133
513,DEPARTMENT OF CORRECTION,OPERATIONS - OTPS,OTHER SERVICES AND CHARGES,25416067,0.025416067
514,DEPARTMENT OF CORRECTION,OPERATIONS - OTPS,PROPERTY AND EQUIPMENT,2227647,0.002227647
515,DEPARTMENT OF CORRECTION,OPERATIONS - OTPS,SOCIAL SERVICES,325651,0.000325651
516,DEPARTMENT OF CORRECTION,OPERATIONS - OTPS,SUPPLIES AND MATERIALS,15739286,0.015739286
517,DEPARTMENT OF CULTURAL AFFAIRS,AMER MUSEUM NATURAL HISTORY,FIXED & MISCELLANEOUS CHARGES,11819105,0.011819105
518,DEPARTMENT OF CULTURAL AFFAIRS,AMER MUSEUM NATURAL HISTORY,OTHER SERVICES AND CHARGES,6989326,0.006989326
519,DEPARTMENT OF CULTURAL AFFAIRS,BKLYN CHILDREN'S MUSEUM,FIXED & MISCELLANEOUS CHARGES,2424845,0.002424845
520,DEPARTMENT OF CULTURAL AFFAIRS,BKLYN CHILDREN'S MUSEUM,OTHER SERVICES AND CHARGES,99638,9.9638e-05
521,DEPARTMENT OF CULTURAL AFFAIRS,BROOKLYN ACADEMY OF MUSIC,FIXED & MISCELLANEOUS CHARGES,3389885,0.003389885
522,DEPARTMENT OF CULTURAL AFFAIRS,BROOKLYN ACADEMY OF MUSIC,OTHER SERVICES AND CHARGES,656325,0.000656325
523,DEPARTMENT OF CULTURAL AFFAIRS,BROOKLYN BOTANIC GARDEN,FIXED & MISCELLANEOUS CHARGES,4282075,0.004282075
524,DEPARTMENT OF CULTURAL AFFAIRS,BROOKLYN BOTANIC GARDEN,OTHER SERVICES AND CHARGES,610961,0.000610961
525,DEPARTMENT OF CULTURAL AFFAIRS,BROOKLYN MUSEUM,FIXED & MISCELLANEOUS CHARGES,7768014,0.007768014
526,DEPARTMENT OF CULTURAL AFFAIRS,BROOKLYN MUSEUM,OTHER SERVICES AND CHARGES,1767297,0.001767297
527,DEPARTMENT OF CULTURAL AFFAIRS,CULTURAL PROGRAMS,CONTRACTUAL SERVICES,84047599,0.084047599
528,DEPARTMENT OF CULTURAL AFFAIRS,CULTURAL PROGRAMS,OTHER SERVICES AND CHARGES,16491,1.6491e-05
529,DEPARTMENT OF CULTURAL AFFAIRS,METROPOLITAN MUSEUM OF ART,FIXED & MISCELLANEOUS CHARGES,9503052,0.009503052
530,DEPARTMENT OF CULTURAL AFFAIRS,METROPOLITAN MUSEUM OF ART,OTHER SERVICES AND CHARGES,11574268,0.011574268
531,DEPARTMENT OF CULTURAL AFFAIRS,MUSEUM OF THE CITY OF NY,FIXED & MISCELLANEOUS CHARGES,1730479,0.001730479
532,DEPARTMENT OF CULTURAL AFFAIRS,MUSEUM OF THE CITY OF NY,OTHER SERVICES AND CHARGES,430407,0.000430407
533,DEPARTMENT OF CULTURAL AFFAIRS,N.Y.SHAKESPEARE FESTIVAL,FIXED & MISCELLANEOUS CHARGES,753116,0.000753116
534,DEPARTMENT OF CULTURAL AFFAIRS,N.Y.SHAKESPEARE FESTIVAL,OTHER SERVICES AND CHARGES,439294,0.000439294
535,DEPARTMENT OF CULTURAL AFFAIRS,NY BOTANICAL GARDEN,FIXED & MISCELLANEOUS CHARGES,5572479,0.005572479
536,DEPARTMENT OF CULTURAL AFFAIRS,NY BOTANICAL GARDEN,OTHER SERVICES AND CHARGES,1951522,0.001951522
537,DEPARTMENT OF CULTURAL AFFAIRS,NY HALL OF SCIENCE,FIXED & MISCELLANEOUS CHARGES,2093529,0.002093529
538,DEPARTMENT OF CULTURAL AFFAIRS,NY HALL OF SCIENCE,OTHER SERVICES AND CHARGES,472479,0.000472479
539,DEPARTMENT OF CULTURAL AFFAIRS,OFFICE OF COMMISSIONER - OTPS,CONTRACTUAL SERVICES,121928,0.000121928
540,DEPARTMENT OF CULTURAL AFFAIRS,OFFICE OF COMMISSIONER - OTPS,FIXED & MISCELLANEOUS CHARGES,90494,9.0494e-05
541,DEPARTMENT OF CULTURAL AFFAIRS,OFFICE OF COMMISSIONER - OTPS,OTHER SERVICES AND CHARGES,2271365,0.002271365
542,DEPARTMENT OF CULTURAL AFFAIRS,OFFICE OF COMMISSIONER - OTPS,PROPERTY AND EQUIPMENT,6923,6.923e-06
543,DEPARTMENT OF CULTURAL AFFAIRS,OFFICE OF COMMISSIONER - OTPS,SUPPLIES AND MATERIALS,66184,6.6184e-05
544,DEPARTMENT OF CULTURAL AFFAIRS,OFFICE OF COMMISSIONER-PS,FULL TIME SALARIED,5244943,0.005244943
545,DEPARTMENT OF CULTURAL AFFAIRS,OFFICE OF COMMISSIONER-PS,UNSALARIED,1056421,0.001056421
546,DEPARTMENT OF CULTURAL AFFAIRS,OTHER CULTURAL INSTITUTIONS,FIXED & MISCELLANEOUS CHARGES,17512182,0.017512182
547,DEPARTMENT OF CULTURAL AFFAIRS,OTHER CULTURAL INSTITUTIONS,OTHER SERVICES AND CHARGES,6142815,0.006142815
548,DEPARTMENT OF CULTURAL AFFAIRS,QUEENS BOTANICAL GARDEN,FIXED & MISCELLANEOUS CHARGES,1721912,0.001721912
549,DEPARTMENT OF CULTURAL AFFAIRS,QUEENS BOTANICAL GARDEN,OTHER SERVICES AND CHARGES,136794,0.000136794
550,DEPARTMENT OF CULTURAL AFFAIRS,S I HISTORICAL SOCIETY,FIXED & MISCELLANEOUS CHARGES,970894,0.000970894
551,DEPARTMENT OF CULTURAL AFFAIRS,S I HISTORICAL SOCIETY,OTHER SERVICES AND CHARGES,99598,9.9598e-05
552,DEPARTMENT OF CULTURAL AFFAIRS,S.I. ZOOLOGICAL SOCIETY,FIXED & MISCELLANEOUS CHARGES,2202760,0.00220276
553,DEPARTMENT OF CULTURAL AFFAIRS,S.I. ZOOLOGICAL SOCIETY,OTHER SERVICES AND CHARGES,276526,0.000276526
554,DEPARTMENT OF CULTURAL AFFAIRS,SI INSTITUTE ARTS & SCIENCES,FIXED & MISCELLANEOUS CHARGES,1109743,0.001109743
555,DEPARTMENT OF CULTURAL AFFAIRS,SI INSTITUTE ARTS & SCIENCES,OTHER SERVICES AND CHARGES,141764,0.000141764
556,DEPARTMENT OF CULTURAL AFFAIRS,SNUG HARBOR CULTURAL CENTER,FIXED & MISCELLANEOUS CHARGES,2000097,0.002000097
557,DEPARTMENT OF CULTURAL AFFAIRS,SNUG HARBOR CULTURAL CENTER,OTHER SERVICES AND CHARGES,473993,0.000473993
558,DEPARTMENT OF CULTURAL AFFAIRS,STUDIO MUSEUM IN HARLEM,FIXED & MISCELLANEOUS CHARGES,838717,0.000838717
559,DEPARTMENT OF CULTURAL AFFAIRS,STUDIO MUSEUM IN HARLEM,OTHER SERVICES AND CHARGES,26621,2.6621e-05
560,DEPARTMENT OF CULTURAL AFFAIRS,THE WILDLIFE CONSERVATION SOC.,FIXED & MISCELLANEOUS CHARGES,13173995,0.013173995
561,DEPARTMENT OF CULTURAL AFFAIRS,THE WILDLIFE CONSERVATION SOC.,OTHER SERVICES AND CHARGES,6010270,0.00601027
562,DEPARTMENT OF CULTURAL AFFAIRS,WAVE HILL,FIXED & MISCELLANEOUS CHARGES,1899233,0.001899233
563,DEPARTMENT OF CULTURAL AFFAIRS,WAVE HILL,OTHER SERVICES AND CHARGES,199905,0.000199905
564,DEPARTMENT OF DESIGN AND CONSTRUCTION,DESIGN & ENGINEERING OTPS,CONTRACTUAL SERVICES,46894687,0.046894687
565,DEPARTMENT OF DESIGN AND CONSTRUCTION,DESIGN & ENGINEERING OTPS,FIXED & MISCELLANEOUS CHARGES,80100,8.01e-05
566,DEPARTMENT OF DESIGN AND CONSTRUCTION,DESIGN & ENGINEERING OTPS,OTHER SERVICES AND CHARGES,15227540,0.01522754
567,DEPARTMENT OF DESIGN AND CONSTRUCTION,DESIGN & ENGINEERING OTPS,PROPERTY AND EQUIPMENT,411745,0.000411745
568,DEPARTMENT OF DESIGN AND CONSTRUCTION,DESIGN & ENGINEERING OTPS,SUPPLIES AND MATERIALS,1298860,0.00129886
569,DEPARTMENT OF DESIGN AND CONSTRUCTION,DESIGN & ENGINEERING PS,ADDITIONAL GROSS PAY,3197215,0.003197215
570,DEPARTMENT OF DESIGN AND CONSTRUCTION,DESIGN & ENGINEERING PS,FULL TIME SALARIED,113736915,0.113736915
571,DEPARTMENT OF DESIGN AND CONSTRUCTION,DESIGN & ENGINEERING PS,OTHER SALARIED,2205,2.205e-06
572,DEPARTMENT OF DESIGN AND CONSTRUCTION,DESIGN & ENGINEERING PS,UNSALARIED,519487,0.000519487
573,DEPARTMENT OF DESIGN AND CONSTRUCTION,"EXEC, ADMIN & CAPITAL PLANNING OTPS",CONTRACTUAL SERVICES,0,0.0
574,DEPARTMENT OF DESIGN AND CONSTRUCTION,"EXEC, ADMIN & CAPITAL PLANNING OTPS",OTHER SERVICES AND CHARGES,0,0.0
575,DEPARTMENT OF DESIGN AND CONSTRUCTION,"EXEC, ADMIN & CAPITAL PLANNING OTPS",PROPERTY AND EQUIPMENT,0,0.0
576,DEPARTMENT OF DESIGN AND CONSTRUCTION,"EXEC, ADMIN & CAPITAL PLANNING OTPS",SUPPLIES AND MATERIALS,0,0.0
577,DEPARTMENT OF DESIGN AND CONSTRUCTION,"EXEC, ADMIN & CAPITAL PLANNING PS",ADDITIONAL GROSS PAY,0,0.0
578,DEPARTMENT OF DESIGN AND CONSTRUCTION,"EXEC, ADMIN & CAPITAL PLANNING PS",FULL TIME SALARIED,0,0.0
579,DEPARTMENT OF DESIGN AND CONSTRUCTION,"EXEC, ADMIN & CAPITAL PLANNING PS",OTHER SALARIED,0,0.0
580,DEPARTMENT OF DESIGN AND CONSTRUCTION,"EXEC, ADMIN & CAPITAL PLANNING PS",UNSALARIED,0,0.0
581,DEPARTMENT OF EDUCATION,CATEGORICAL PROGRAMS - OTPS,CONTRACTUAL SERVICES,676837466,0.676837466
582,DEPARTMENT OF EDUCATION,CATEGORICAL PROGRAMS - OTPS,FIXED & MISCELLANEOUS CHARGES,14784355,0.014784355
583,DEPARTMENT OF EDUCATION,CATEGORICAL PROGRAMS - OTPS,OTHER SERVICES AND CHARGES,192968913,0.192968913
584,DEPARTMENT OF EDUCATION,CATEGORICAL PROGRAMS - OTPS,PROPERTY AND EQUIPMENT,25361828,0.025361828
585,DEPARTMENT OF EDUCATION,CATEGORICAL PROGRAMS - OTPS,SUPPLIES AND MATERIALS,555292209,0.555292209
586,DEPARTMENT OF EDUCATION,CATEGORICAL PROGRAMS - PS,ADDITIONAL GROSS PAY,188087960,0.18808796
587,DEPARTMENT OF EDUCATION,CATEGORICAL PROGRAMS - PS,FRINGE BENEFITS,260685242,0.260685242
588,DEPARTMENT OF EDUCATION,CATEGORICAL PROGRAMS - PS,FULL TIME SALARIED,641090240,0.64109024
589,DEPARTMENT OF EDUCATION,CATEGORICAL PROGRAMS - PS,OTHER SALARIED,1913,1.913e-06
590,DEPARTMENT OF EDUCATION,CATEGORICAL PROGRAMS - PS,UNSALARIED,106553017,0.106553017
591,DEPARTMENT OF EDUCATION,CATEGORICAL PROGRAMS-OTPS,OTHER SERVICES AND CHARGES,0,0.0
592,DEPARTMENT OF EDUCATION,CATEGORICAL PROGRAMS-OTPS,SUPPLIES AND MATERIALS,0,0.0
593,DEPARTMENT OF EDUCATION,CENTRAL ADMINISTRATION - OTPS,CONTRACTUAL SERVICES,72408509,0.072408509
594,DEPARTMENT OF EDUCATION,CENTRAL ADMINISTRATION - OTPS,FIXED & MISCELLANEOUS CHARGES,98103,9.8103e-05
595,DEPARTMENT OF EDUCATION,CENTRAL ADMINISTRATION - OTPS,OTHER SERVICES AND CHARGES,28779251,0.028779251
596,DEPARTMENT OF EDUCATION,CENTRAL ADMINISTRATION - OTPS,PROPERTY AND EQUIPMENT,1762524,0.001762524
597,DEPARTMENT OF EDUCATION,CENTRAL ADMINISTRATION - OTPS,SUPPLIES AND MATERIALS,62489221,0.062489221
598,DEPARTMENT OF EDUCATION,CENTRAL ADMINISTRATION - PS,ADDITIONAL GROSS PAY,5378339,0.005378339
599,DEPARTMENT OF EDUCATION,CENTRAL ADMINISTRATION - PS,FULL TIME SALARIED,117356062,0.117356062
600,DEPARTMENT OF EDUCATION,CENTRAL ADMINISTRATION - PS,OTHER SALARIED,329506,0.000329506
601,DEPARTMENT OF EDUCATION,CENTRAL ADMINISTRATION - PS,UNSALARIED,131556,0.000131556
602,DEPARTMENT OF EDUCATION,CENTRAL ADMINISTRATION-OTPS,OTHER SERVICES AND CHARGES,0,0.0
603,DEPARTMENT OF EDUCATION,CHARTER SCHOOLS,CONTRACTUAL SERVICES,3135516619,3.135516619
604,DEPARTMENT OF EDUCATION,CHARTER SCHOOLS,OTHER SERVICES AND CHARGES,5631418,0.005631418
605,DEPARTMENT OF EDUCATION,CHARTER SCHOOLS,PROPERTY AND EQUIPMENT,8990168,0.008990168
606,DEPARTMENT OF EDUCATION,CHARTER SCHOOLS,SUPPLIES AND MATERIALS,2091223,0.002091223
607,DEPARTMENT OF EDUCATION,CONTRACT SCHOOLS/FOSTER/CH 683 PMTS,CONTRACTUAL SERVICES,1527330234,1.527330234
608,DEPARTMENT OF EDUCATION,CONTRACT SCHOOLS/FOSTER/CH 683 PMTS,FIXED & MISCELLANEOUS CHARGES,22596732,0.022596732
609,DEPARTMENT OF EDUCATION,CONTRACT SCHOOLS/FOSTER/CH 683 PMTS,OTHER SERVICES AND CHARGES,286665,0.000286665
610,DEPARTMENT OF EDUCATION,CW SE INSTR & SCHL LEADERSHIP - OTPS,CONTRACTUAL SERVICES,5161753,0.005161753
611,DEPARTMENT OF EDUCATION,CW SE INSTR & SCHL LEADERSHIP - OTPS,OTHER SERVICES AND CHARGES,5812284,0.005812284
612,DEPARTMENT OF EDUCATION,CW SE INSTR & SCHL LEADERSHIP - OTPS,PROPERTY AND EQUIPMENT,11676722,0.011676722
613,DEPARTMENT OF EDUCATION,CW SE INSTR & SCHL LEADERSHIP - OTPS,SUPPLIES AND MATERIALS,32677746,0.032677746
614,DEPARTMENT OF EDUCATION,CW SE INSTR & SCHL LEADERSHIP - PS,ADDITIONAL GROSS PAY,59061780,0.05906178
615,DEPARTMENT OF EDUCATION,CW SE INSTR & SCHL LEADERSHIP - PS,FRINGE BENEFITS,350671,0.000350671
616,DEPARTMENT OF EDUCATION,CW SE INSTR & SCHL LEADERSHIP - PS,FULL TIME SALARIED,1308154986,1.308154986
617,DEPARTMENT OF EDUCATION,CW SE INSTR & SCHL LEADERSHIP - PS,UNSALARIED,50264870,0.05026487
618,DEPARTMENT OF EDUCATION,DIST INSTR/INSTR SPT SVCS-OTPS,OTHER SERVICES AND CHARGES,0,0.0
619,DEPARTMENT OF EDUCATION,DIV OF SPEC ED-INST SPT SVC-OT,OTHER SERVICES AND CHARGES,0,0.0
620,DEPARTMENT OF EDUCATION,EARLY CHILDHOOD PROGRAMS - OTPS,CONTRACTUAL SERVICES,499356909,0.499356909
621,DEPARTMENT OF EDUCATION,EARLY CHILDHOOD PROGRAMS - OTPS,FIXED & MISCELLANEOUS CHARGES,4897377,0.004897377
622,DEPARTMENT OF EDUCATION,EARLY CHILDHOOD PROGRAMS - OTPS,OTHER SERVICES AND CHARGES,1084788,0.001084788
623,DEPARTMENT OF EDUCATION,EARLY CHILDHOOD PROGRAMS - OTPS,PROPERTY AND EQUIPMENT,54000,5.4e-05
624,DEPARTMENT OF EDUCATION,EARLY CHILDHOOD PROGRAMS - OTPS,SUPPLIES AND MATERIALS,7522375,0.007522375
625,DEPARTMENT OF EDUCATION,EARLY CHILDHOOD PROGRAMS- PS,ADDITIONAL GROSS PAY,5846691,0.005846691
626,DEPARTMENT OF EDUCATION,EARLY CHILDHOOD PROGRAMS- PS,FULL TIME SALARIED,22884679,0.022884679
627,DEPARTMENT OF EDUCATION,EARLY CHILDHOOD PROGRAMS- PS,UNSALARIED,246184,0.000246184
628,DEPARTMENT OF EDUCATION,ENERGY AND LEASES,OTHER SERVICES AND CHARGES,0,0.0
629,DEPARTMENT OF EDUCATION,ENERGY AND LEASES - OTPS,OTHER SERVICES AND CHARGES,698976006,0.698976006
630,DEPARTMENT OF EDUCATION,ENERGY AND LEASES - OTPS,SUPPLIES AND MATERIALS,55160786,0.055160786
631,DEPARTMENT OF EDUCATION,FRINGE BENEFITS - PS,ADDITIONAL GROSS PAY,75000,7.5e-05
632,DEPARTMENT OF EDUCATION,FRINGE BENEFITS - PS,FRINGE BENEFITS,3902646176,3.902646176
633,DEPARTMENT OF EDUCATION,GE INSTR & SCH LEADERSHIP - OTPS,CONTRACTUAL SERVICES,216763066,0.216763066
634,DEPARTMENT OF EDUCATION,GE INSTR & SCH LEADERSHIP - OTPS,FIXED & MISCELLANEOUS CHARGES,671000,0.000671
635,DEPARTMENT OF EDUCATION,GE INSTR & SCH LEADERSHIP - OTPS,OTHER SERVICES AND CHARGES,221400910,0.22140091
636,DEPARTMENT OF EDUCATION,GE INSTR & SCH LEADERSHIP - OTPS,PROPERTY AND EQUIPMENT,178429771,0.178429771
637,DEPARTMENT OF EDUCATION,GE INSTR & SCH LEADERSHIP - OTPS,SUPPLIES AND MATERIALS,260998122,0.260998122
638,DEPARTMENT OF EDUCATION,GE INSTR & SCH LEADERSHIP - PS,ADDITIONAL GROSS PAY,289638868,0.289638868
639,DEPARTMENT OF EDUCATION,GE INSTR & SCH LEADERSHIP - PS,AMOUNTS TO BE SCHEDULED,-80955822,-0.080955822
640,DEPARTMENT OF EDUCATION,GE INSTR & SCH LEADERSHIP - PS,FRINGE BENEFITS,81572603,0.081572603
641,DEPARTMENT OF EDUCATION,GE INSTR & SCH LEADERSHIP - PS,FULL TIME SALARIED,6797124499,6.797124499
642,DEPARTMENT OF EDUCATION,GE INSTR & SCH LEADERSHIP - PS,OTHER SALARIED,911613,0.000911613
643,DEPARTMENT OF EDUCATION,GE INSTR & SCH LEADERSHIP - PS,UNSALARIED,352578161,0.352578161
644,DEPARTMENT OF EDUCATION,HS INSTR/INSTR SPT SVCS-OTPS,OTHER SERVICES AND CHARGES,0,0.0
645,DEPARTMENT OF EDUCATION,NON-PUBLIC SCHOOL PAYMENTS,FIXED & MISCELLANEOUS CHARGES,0,0.0
646,DEPARTMENT OF EDUCATION,NPS & FIT PMTS - OTPS,FIXED & MISCELLANEOUS CHARGES,83199595,0.083199595
647,DEPARTMENT OF EDUCATION,NPS & FIT PMTS - OTPS,PROPERTY AND EQUIPMENT,89467990,0.08946799
648,DEPARTMENT OF EDUCATION,NPS & FIT PMTS - OTPS,SUPPLIES AND MATERIALS,3343880,0.00334388
649,DEPARTMENT OF EDUCATION,PUPIL TRANSPORTATION - OTPS,CONTRACTUAL SERVICES,1645659781,1.645659781
650,DEPARTMENT OF EDUCATION,PUPIL TRANSPORTATION - OTPS,FIXED & MISCELLANEOUS CHARGES,67440032,0.067440032
651,DEPARTMENT OF EDUCATION,PUPIL TRANSPORTATION - OTPS,OTHER SERVICES AND CHARGES,6628741,0.006628741
652,DEPARTMENT OF EDUCATION,PUPIL TRANSPORTATION - OTPS,PROPERTY AND EQUIPMENT,2237210,0.00223721
653,DEPARTMENT OF EDUCATION,PUPIL TRANSPORTATION - OTPS,SUPPLIES AND MATERIALS,2588853,0.002588853
654,DEPARTMENT OF EDUCATION,PUPIL TRANSPORTATION - PS,FULL TIME SALARIED,11219687,0.011219687
655,DEPARTMENT OF EDUCATION,SCHOOL FAC-CUST MAINT-OTPS,OTHER SERVICES AND CHARGES,0,0.0
656,DEPARTMENT OF EDUCATION,SCHOOL FACILITIES - OTPS,CONTRACTUAL SERVICES,1202826256,1.202826256
657,DEPARTMENT OF EDUCATION,SCHOOL FACILITIES - OTPS,FIXED & MISCELLANEOUS CHARGES,0,0.0
658,DEPARTMENT OF EDUCATION,SCHOOL FACILITIES - OTPS,OTHER SERVICES AND CHARGES,7886715,0.007886715
659,DEPARTMENT OF EDUCATION,SCHOOL FACILITIES - OTPS,PROPERTY AND EQUIPMENT,4195948,0.004195948
660,DEPARTMENT OF EDUCATION,SCHOOL FACILITIES - OTPS,SUPPLIES AND MATERIALS,47982704,0.047982704
661,DEPARTMENT OF EDUCATION,SCHOOL FACILITIES - PS,ADDITIONAL GROSS PAY,2633946,0.002633946
662,DEPARTMENT OF EDUCATION,SCHOOL FACILITIES - PS,FULL TIME SALARIED,55009041,0.055009041
663,DEPARTMENT OF EDUCATION,SCHOOL FACILITIES - PS,UNSALARIED,126107455,0.126107455
664,DEPARTMENT OF EDUCATION,SCHOOL FOOD SERVICES - OTPS,CONTRACTUAL SERVICES,12626867,0.012626867
665,DEPARTMENT OF EDUCATION,SCHOOL FOOD SERVICES - OTPS,FIXED & MISCELLANEOUS CHARGES,1090700,0.0010907
666,DEPARTMENT OF EDUCATION,SCHOOL FOOD SERVICES - OTPS,OTHER SERVICES AND CHARGES,1972055,0.001972055
667,DEPARTMENT OF EDUCATION,SCHOOL FOOD SERVICES - OTPS,PROPERTY AND EQUIPMENT,3812609,0.003812609
668,DEPARTMENT OF EDUCATION,SCHOOL FOOD SERVICES - OTPS,SUPPLIES AND MATERIALS,300783529,0.300783529
669,DEPARTMENT OF EDUCATION,SCHOOL FOOD SERVICES - PS,ADDITIONAL GROSS PAY,6101723,0.006101723
670,DEPARTMENT OF EDUCATION,SCHOOL FOOD SERVICES - PS,FRINGE BENEFITS,585000,0.000585
671,DEPARTMENT OF EDUCATION,SCHOOL FOOD SERVICES - PS,FULL TIME SALARIED,74603960,0.07460396
672,DEPARTMENT OF EDUCATION,SCHOOL FOOD SERVICES - PS,OTHER SALARIED,282321,0.000282321
673,DEPARTMENT OF EDUCATION,SCHOOL FOOD SERVICES - PS,UNSALARIED,205541198,0.205541198
674,DEPARTMENT OF EDUCATION,SCHOOL SAFETY - OTPS,OTHER SERVICES AND CHARGES,368856202,0.368856202
675,DEPARTMENT OF EDUCATION,SCHOOL SAFETY-OTPS,OTHER SERVICES AND CHARGES,0,0.0
676,DEPARTMENT OF EDUCATION,SCHOOL SUPPORT ORGANIZATION,ADDITIONAL GROSS PAY,11808939,0.011808939
677,DEPARTMENT OF EDUCATION,SCHOOL SUPPORT ORGANIZATION,FULL TIME SALARIED,232649182,0.232649182
678,DEPARTMENT OF EDUCATION,SCHOOL SUPPORT ORGANIZATION,OTHER SALARIED,14551,1.4551e-05
679,DEPARTMENT OF EDUCATION,SCHOOL SUPPORT ORGANIZATION,UNSALARIED,3444208,0.003444208
680,DEPARTMENT OF EDUCATION,SCHOOL SUPPORT ORGANIZATION OTPS,CONTRACTUAL SERVICES,15662080,0.01566208
681,DEPARTMENT OF EDUCATION,SCHOOL SUPPORT ORGANIZATION OTPS,FIXED & MISCELLANEOUS CHARGES,0,0.0
682,DEPARTMENT OF EDUCATION,SCHOOL SUPPORT ORGANIZATION OTPS,OTHER SERVICES AND CHARGES,1532878,0.001532878
683,DEPARTMENT OF EDUCATION,SCHOOL SUPPORT ORGANIZATION OTPS,PROPERTY AND EQUIPMENT,572675,0.000572675
684,DEPARTMENT OF EDUCATION,SCHOOL SUPPORT ORGANIZATION OTPS,SUPPLIES AND MATERIALS,2624203,0.002624203
685,DEPARTMENT OF EDUCATION,SE INSTR & SCH LEADERSHIP - PS,ADDITIONAL GROSS PAY,35063944,0.035063944
686,DEPARTMENT OF EDUCATION,SE INSTR & SCH LEADERSHIP - PS,FRINGE BENEFITS,3264747,0.003264747
687,DEPARTMENT OF EDUCATION,SE INSTR & SCH LEADERSHIP - PS,FULL TIME SALARIED,2341177282,2.341177282
688,DEPARTMENT OF EDUCATION,SE INSTR & SCH LEADERSHIP - PS,UNSALARIED,29859954,0.029859954
689,DEPARTMENT OF EDUCATION,SE INSTR & SCH LEADERSHIP -OTPS,CONTRACTUAL SERVICES,1826272,0.001826272
690,DEPARTMENT OF EDUCATION,SE INSTR & SCH LEADERSHIP -OTPS,OTHER SERVICES AND CHARGES,479310,0.00047931
691,DEPARTMENT OF EDUCATION,SE INSTR & SCH LEADERSHIP -OTPS,PROPERTY AND EQUIPMENT,4249356,0.004249356
692,DEPARTMENT OF EDUCATION,SE INSTR & SCH LEADERSHIP -OTPS,SUPPLIES AND MATERIALS,3269993,0.003269993
693,DEPARTMENT OF EDUCATION,SE INSTRUCTIONAL SUPPORT -  OTPS,CONTRACTUAL SERVICES,362561718,0.362561718
694,DEPARTMENT OF EDUCATION,SE INSTRUCTIONAL SUPPORT -  OTPS,FIXED & MISCELLANEOUS CHARGES,0,0.0
695,DEPARTMENT OF EDUCATION,SE INSTRUCTIONAL SUPPORT -  OTPS,OTHER SERVICES AND CHARGES,49509144,0.049509144
696,DEPARTMENT OF EDUCATION,SE INSTRUCTIONAL SUPPORT -  OTPS,PROPERTY AND EQUIPMENT,2460337,0.002460337
697,DEPARTMENT OF EDUCATION,SE INSTRUCTIONAL SUPPORT -  OTPS,SUPPLIES AND MATERIALS,1881940,0.00188194
698,DEPARTMENT OF EDUCATION,SE INSTRUCTIONAL SUPPORT - PS,ADDITIONAL GROSS PAY,29302907,0.029302907
699,DEPARTMENT OF EDUCATION,SE INSTRUCTIONAL SUPPORT - PS,FRINGE BENEFITS,2051210,0.00205121
700,DEPARTMENT OF EDUCATION,SE INSTRUCTIONAL SUPPORT - PS,FULL TIME SALARIED,367544072,0.367544072
701,DEPARTMENT OF EDUCATION,SE INSTRUCTIONAL SUPPORT - PS,UNSALARIED,35372144,0.035372144
702,DEPARTMENT OF EDUCATION,SE PRE-K CONTRACT PMTS - OTPS,CONTRACTUAL SERVICES,924191955,0.924191955
703,DEPARTMENT OF EDUCATION,SE PRE-K CONTRACT PMTS - OTPS,FIXED & MISCELLANEOUS CHARGES,5000000,0.005
704,DEPARTMENT OF EDUCATION,SP ED C/W INST/INST SPT SV-OTP,OTHER SERVICES AND CHARGES,0,0.0
705,DEPARTMENT OF EDUCATION,UNIVERSAL PRE-K - OTPS,CONTRACTUAL SERVICES,896389864,0.896389864
706,DEPARTMENT OF EDUCATION,UNIVERSAL PRE-K - OTPS,FIXED & MISCELLANEOUS CHARGES,0,0.0
707,DEPARTMENT OF EDUCATION,UNIVERSAL PRE-K - OTPS,OTHER SERVICES AND CHARGES,26425245,0.026425245
708,DEPARTMENT OF EDUCATION,UNIVERSAL PRE-K - OTPS,PROPERTY AND EQUIPMENT,6446960,0.00644696
709,DEPARTMENT OF EDUCATION,UNIVERSAL PRE-K - OTPS,SUPPLIES AND MATERIALS,16051361,0.016051361
710,DEPARTMENT OF EDUCATION,UNIVERSAL PRE-K - PS,ADDITIONAL GROSS PAY,1800984,0.001800984
711,DEPARTMENT OF EDUCATION,UNIVERSAL PRE-K - PS,FRINGE BENEFITS,182097842,0.182097842
